comparison	method	gene_id	fold0_p_value	fold1_p_value	conjunction_p_value	conjunction_q_value	shared_block_tests
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038418	0.1303307805106711	0.5098503686791107	0.5098503686791107	0.6873960277908309	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038437	3.181875533368031e-28	0.0014823750974172	0.0014823750974172	0.005420401871363903	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038453	1.80144655679061e-36	7.721628394028994e-22	7.721628394028994e-22	2.3293578988654135e-20	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038495	0.0254573803863811	5.0443511767602754e-11	0.0254573803863811	0.06391413896654466	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038533	2.5089505963370693e-43	0.000145047106106	0.000145047106106	0.0006482352149428642	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038538	0.2189591882757448	0.5537832319509839	0.5537832319509839	0.7211134171448064	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038564	3.017602198624939e-108	3.089735432854257e-141	3.017602198624939e-108	4.369487983608912e-106	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038623	0.0183943379224161	0.0104594942432667	0.0183943379224161	0.04825181397039585	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038738	0.0021459256979562	0.0599513607493213	0.0599513607493213	0.12879758214394252	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038976	0.1983118290568101	0.5461590369472993	0.5461590369472993	0.7137529652524273	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039000	7.060715804782932e-24	2.2396947208712405e-22	2.2396947208712405e-22	7.370631717776265e-21	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039033	0.0746171868960884	0.1138885811478144	0.1138885811478144	0.21929609774206815	948
