test_id	null_type	replicates	observed_statistic	empirical_p_value	observed_mixture_log_bayes_factor	empirical_bf_p_value
ENSMUSG00000025231.18:B2	label_permutation	32	0.0033003470878156	0.7878787878787878	-0.0033906899980788	1.0
ENSMUSG00000025231.18:B2	wild_cluster	32	0.0033003470878156	0.30303030303030304	-0.0033906899980788	1.0
ENSMUSG00000025231.18:B3	label_permutation	32	0.1265871157672791	0.7575757575757576	-0.0239664255002256	0.12121212121212122
ENSMUSG00000025231.18:B3	wild_cluster	32	0.1265871157672791	0.030303030303030304	-0.0239664255002256	1.0
ENSMUSG00000025234.12:B1	label_permutation	32	1.349600350123637	0.8787878787878788	-0.5399520742693645	0.06060606060606061
ENSMUSG00000025234.12:B1	wild_cluster	32	1.349600350123637	0.15151515151515152	-0.5399520742693645	0.12121212121212122
ENSMUSG00000025237.17:B1	label_permutation	32	4.688648714012203	0.42424242424242425	-0.1013296533812164	0.5757575757575758
ENSMUSG00000025237.17:B1	wild_cluster	32	4.688648714012203	0.8787878787878788	-0.1013296533812164	0.9696969696969697
ENSMUSG00000025240.11:B1	label_permutation	32	2.874214708151157	0.09090909090909091	-0.2344215230854327	0.030303030303030304
ENSMUSG00000025240.11:B1	wild_cluster	32	2.874214708151157	0.030303030303030304	-0.2344215230854327	0.030303030303030304
ENSMUSG00000025241.17:B1	label_permutation	32	6.768659856583327	0.6060606060606061	0.1469879858942739	0.30303030303030304
ENSMUSG00000025241.17:B1	wild_cluster	32	6.768659856583327	0.06060606060606061	0.1469879858942739	0.06060606060606061
ENSMUSG00000025255.19:B1	label_permutation	32	1.126288933877504	0.696969696969697	-0.1716254353699797	0.7575757575757576
ENSMUSG00000025255.19:B1	wild_cluster	32	1.126288933877504	0.2727272727272727	-0.1716254353699797	0.2727272727272727
ENSMUSG00000025261.19:B1	label_permutation	32	13.02049714061036	0.45454545454545453	-2.2274572429368726	0.6363636363636364
ENSMUSG00000025261.19:B1	wild_cluster	32	13.02049714061036	0.15151515151515152	-2.2274572429368726	0.3333333333333333
ENSMUSG00000025266.12:B1	label_permutation	32	0.8551906107618379	0.8484848484848485	-0.0788117602737832	1.0
ENSMUSG00000025266.12:B1	wild_cluster	32	0.8551906107618379	0.6363636363636364	-0.0788117602737832	0.6363636363636364
ENSMUSG00000025269.17:B1	label_permutation	32	1.89582587874105	0.6666666666666666	-0.1431718748683024	0.6666666666666666
ENSMUSG00000025269.17:B1	wild_cluster	32	1.89582587874105	0.21212121212121213	-0.1431718748683024	0.24242424242424243
ENSMUSG00000025269.17:B2	label_permutation	32	3.6162582581294487	0.030303030303030304	0.3607046193654974	0.030303030303030304
ENSMUSG00000025269.17:B2	wild_cluster	32	3.6162582581294487	0.06060606060606061	0.3607046193654974	0.06060606060606061
ENSMUSG00000025269.17:B3	label_permutation	32	1.8911253207552927	0.696969696969697	-0.143761768234617	0.696969696969697
ENSMUSG00000025269.17:B3	wild_cluster	32	1.8911253207552927	0.12121212121212122	-0.143761768234617	0.12121212121212122
