subject	cell_type	primer	cells
C_7	EX_hippocampus_pyramidal	random hexamer	2
C_7	EX_thalamus	poly(dT)	2
C_7	EX_thalamus	random hexamer	2
C_7	INH_medium_spiny	poly(dT)	16
C_7	INH_medium_spiny	random hexamer	34
C_7	INH_midbrain	poly(dT)	28
C_7	INH_midbrain	random hexamer	32
C_7	INH_migrating_interneuron	poly(dT)	62
C_7	INH_migrating_interneuron	random hexamer	44
C_7	ODC	poly(dT)	32
C_7	ODC	random hexamer	32
C_8	ASC	poly(dT)	58
C_8	ASC	random hexamer	58
C_8	EX_cerebellum_granule	poly(dT)	20
C_8	EX_cerebellum_granule	random hexamer	30
C_8	EX_cortical	poly(dT)	558
C_8	EX_cortical	random hexamer	582
C_8	EX_hippocampus_granule	poly(dT)	36
C_8	EX_hippocampus_granule	random hexamer	24
C_8	EX_hippocampus_pyramidal	poly(dT)	68
C_8	EX_hippocampus_pyramidal	random hexamer	44
C_8	EX_thalamus	poly(dT)	42
C_8	EX_thalamus	random hexamer	34
C_8	INH_medium_spiny	poly(dT)	162
C_8	INH_medium_spiny	random hexamer	150
C_8	INH_midbrain	poly(dT)	160
C_8	INH_midbrain	random hexamer	212
C_8	INH_migrating_interneuron	poly(dT)	186
C_8	INH_migrating_interneuron	random hexamer	206
C_8	ODC	poly(dT)	36
C_8	ODC	random hexamer	36
D_1	ASC	poly(dT)	84
D_1	ASC	random hexamer	80
D_1	EX_cerebellum_granule	poly(dT)	54
D_1	EX_cerebellum_granule	random hexamer	78
D_1	EX_cortical	poly(dT)	190
D_1	EX_cortical	random hexamer	194
D_1	EX_hippocampus_granule	poly(dT)	22
D_1	EX_hippocampus_granule	random hexamer	18
D_1	EX_hippocampus_pyramidal	poly(dT)	38
D_1	EX_hippocampus_pyramidal	random hexamer	24
D_1	EX_thalamus	poly(dT)	8
D_1	EX_thalamus	random hexamer	8
D_1	INH_medium_spiny	poly(dT)	54
D_1	INH_medium_spiny	random hexamer	40
D_1	INH_midbrain	poly(dT)	26
D_1	INH_midbrain	random hexamer	64
D_1	INH_migrating_interneuron	poly(dT)	56
D_1	INH_migrating_interneuron	random hexamer	66
D_1	ODC	poly(dT)	76
D_1	ODC	random hexamer	50
D_2	ASC	poly(dT)	130
D_2	ASC	random hexamer	106
D_2	EX_cerebellum_granule	poly(dT)	62
D_2	EX_cerebellum_granule	random hexamer	58
D_2	EX_cortical	poly(dT)	580
D_2	EX_cortical	random hexamer	564
D_2	EX_hippocampus_granule	poly(dT)	136
D_2	EX_hippocampus_granule	random hexamer	152
D_2	EX_hippocampus_pyramidal	poly(dT)	56
D_2	EX_hippocampus_pyramidal	random hexamer	46
D_2	EX_thalamus	poly(dT)	70
D_2	EX_thalamus	random hexamer	52
D_2	INH_medium_spiny	poly(dT)	24
D_2	INH_medium_spiny	random hexamer	16
D_2	INH_midbrain	poly(dT)	178
D_2	INH_midbrain	random hexamer	166
D_2	INH_migrating_interneuron	poly(dT)	120
D_2	INH_migrating_interneuron	random hexamer	114
D_2	ODC	poly(dT)	148
D_2	ODC	random hexamer	160
D_3	ASC	poly(dT)	88
D_3	ASC	random hexamer	102
D_3	EX_cerebellum_granule	poly(dT)	42
D_3	EX_cerebellum_granule	random hexamer	52
D_3	EX_cortical	poly(dT)	146
D_3	EX_cortical	random hexamer	106
D_3	EX_hippocampus_granule	poly(dT)	32
D_3	EX_hippocampus_granule	random hexamer	34
D_3	EX_hippocampus_pyramidal	poly(dT)	18
D_3	EX_hippocampus_pyramidal	random hexamer	6
D_3	EX_thalamus	poly(dT)	4
D_3	EX_thalamus	random hexamer	6
D_3	INH_medium_spiny	poly(dT)	106
