event	subject	cell_type	primer	spliced_umis
Agtpbp1	D_8	ODC	random hexamer	5
Agtpbp1	E_1	ASC	poly(dT)	6
Agtpbp1	E_1	ASC	random hexamer	4
Agtpbp1	E_1	EX_cerebellum_granule	poly(dT)	6
Agtpbp1	E_1	EX_cerebellum_granule	random hexamer	8
Agtpbp1	E_1	EX_cortical	poly(dT)	33
Agtpbp1	E_1	EX_cortical	random hexamer	25
Agtpbp1	E_1	EX_hippocampus_granule	poly(dT)	10
Agtpbp1	E_1	EX_hippocampus_granule	random hexamer	3
Agtpbp1	E_1	EX_hippocampus_pyramidal	poly(dT)	2
Agtpbp1	E_1	EX_hippocampus_pyramidal	random hexamer	2
Agtpbp1	E_1	EX_thalamus	poly(dT)	4
Agtpbp1	E_1	INH_medium_spiny	poly(dT)	6
Agtpbp1	E_1	INH_medium_spiny	random hexamer	17
Agtpbp1	E_1	INH_midbrain	poly(dT)	9
Agtpbp1	E_1	INH_midbrain	random hexamer	2
Agtpbp1	E_1	INH_migrating_interneuron	poly(dT)	13
Agtpbp1	E_1	INH_migrating_interneuron	random hexamer	15
Agtpbp1	E_1	ODC	poly(dT)	5
Agtpbp1	E_1	ODC	random hexamer	4
Agtpbp1	E_2	EX_cortical	poly(dT)	4
Agtpbp1	E_2	INH_medium_spiny	poly(dT)	1
Agtpbp1	E_2	INH_migrating_interneuron	random hexamer	4
Agtpbp1	E_3	ASC	random hexamer	1
Agtpbp1	E_3	EX_cortical	poly(dT)	9
Agtpbp1	E_3	EX_cortical	random hexamer	9
Agtpbp1	E_3	EX_hippocampus_pyramidal	poly(dT)	1
Agtpbp1	E_3	INH_medium_spiny	poly(dT)	1
Agtpbp1	E_3	INH_midbrain	random hexamer	1
Agtpbp1	E_4	EX_cortical	poly(dT)	4
Agtpbp1	E_4	EX_cortical	random hexamer	6
Agtpbp1	E_4	EX_hippocampus_granule	poly(dT)	1
Agtpbp1	E_4	EX_hippocampus_granule	random hexamer	1
Agtpbp1	E_5	ASC	poly(dT)	29
Agtpbp1	E_5	ASC	random hexamer	19
Agtpbp1	E_5	EX_cerebellum_granule	poly(dT)	15
Agtpbp1	E_5	EX_cerebellum_granule	random hexamer	18
Agtpbp1	E_5	EX_cortical	poly(dT)	59
Agtpbp1	E_5	EX_cortical	random hexamer	109
Agtpbp1	E_5	EX_hippocampus_granule	poly(dT)	8
Agtpbp1	E_5	EX_hippocampus_granule	random hexamer	2
Agtpbp1	E_5	EX_hippocampus_pyramidal	random hexamer	5
Agtpbp1	E_5	EX_thalamus	poly(dT)	4
Agtpbp1	E_5	EX_thalamus	random hexamer	14
Agtpbp1	E_5	INH_medium_spiny	poly(dT)	34
Agtpbp1	E_5	INH_medium_spiny	random hexamer	47
Agtpbp1	E_5	INH_midbrain	poly(dT)	4
Agtpbp1	E_5	INH_midbrain	random hexamer	14
Agtpbp1	E_5	INH_migrating_interneuron	poly(dT)	12
Agtpbp1	E_5	INH_migrating_interneuron	random hexamer	4
Agtpbp1	E_5	ODC	poly(dT)	19
Agtpbp1	E_5	ODC	random hexamer	10
Agtpbp1	E_6	EX_cortical	poly(dT)	4
Agtpbp1	E_6	EX_cortical	random hexamer	5
Agtpbp1	E_6	INH_migrating_interneuron	poly(dT)	5
Agtpbp1	E_7	ASC	random hexamer	3
Agtpbp1	E_7	EX_cerebellum_granule	poly(dT)	3
Agtpbp1	E_7	EX_cortical	poly(dT)	2
Agtpbp1	E_7	EX_cortical	random hexamer	1
Agtpbp1	E_7	EX_hippocampus_pyramidal	random hexamer	2
Agtpbp1	E_7	INH_midbrain	poly(dT)	1
Agtpbp1	E_8	EX_cerebellum_granule	random hexamer	3
Agtpbp1	E_8	EX_cortical	poly(dT)	9
Agtpbp1	E_8	EX_cortical	random hexamer	11
Agtpbp1	E_8	EX_hippocampus_granule	poly(dT)	1
Agtpbp1	E_8	EX_hippocampus_granule	random hexamer	2
Agtpbp1	E_8	INH_midbrain	poly(dT)	5
Agtpbp1	E_8	INH_midbrain	random hexamer	1
Agtpbp1	E_8	INH_migrating_interneuron	poly(dT)	19
Agtpbp1	E_8	INH_migrating_interneuron	random hexamer	3
Agtpbp1	E_8	ODC	random hexamer	2
Agtpbp1	F_1	ASC	random hexamer	3
Agtpbp1	F_1	EX_cerebellum_granule	random hexamer	2
Agtpbp1	F_1	EX_cortical	poly(dT)	5
Agtpbp1	F_1	EX_cortical	random hexamer	9
Agtpbp1	F_1	EX_hippocampus_granule	poly(dT)	1
Agtpbp1	F_1	EX_hippocampus_granule	random hexamer	3
Agtpbp1	F_1	EX_hippocampus_pyramidal	random hexamer	1
Agtpbp1	F_1	EX_thalamus	poly(dT)	1
Agtpbp1	F_1	EX_thalamus	random hexamer	1
Agtpbp1	F_1	INH_medium_spiny	poly(dT)	1
Agtpbp1	F_1	INH_midbrain	poly(dT)	2
Agtpbp1	F_1	INH_midbrain	random hexamer	9
Agtpbp1	F_1	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	F_1	INH_migrating_interneuron	random hexamer	4
Agtpbp1	F_1	ODC	random hexamer	1
Agtpbp1	F_2	ASC	poly(dT)	3
Agtpbp1	F_2	ASC	random hexamer	10
Agtpbp1	F_2	EX_cerebellum_granule	poly(dT)	4
Agtpbp1	F_2	EX_cerebellum_granule	random hexamer	8
Agtpbp1	F_2	EX_cortical	poly(dT)	7
Agtpbp1	F_2	EX_cortical	random hexamer	17
Agtpbp1	F_2	EX_hippocampus_granule	poly(dT)	1
Agtpbp1	F_2	EX_hippocampus_granule	random hexamer	2
Agtpbp1	F_2	INH_midbrain	random hexamer	6
Agtpbp1	F_2	ODC	poly(dT)	2
Agtpbp1	F_3	ASC	poly(dT)	2
Agtpbp1	F_3	EX_cerebellum_granule	poly(dT)	1
Agtpbp1	F_3	EX_cortical	poly(dT)	4
Agtpbp1	F_3	EX_cortical	random hexamer	6
Agtpbp1	F_3	INH_midbrain	poly(dT)	1
Agtpbp1	F_3	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	F_3	INH_migrating_interneuron	random hexamer	1
Agtpbp1	F_4	ASC	poly(dT)	2
Agtpbp1	F_4	ASC	random hexamer	4
Agtpbp1	F_4	EX_cerebellum_granule	poly(dT)	18
Agtpbp1	F_4	EX_cerebellum_granule	random hexamer	4
Agtpbp1	F_4	EX_cortical	poly(dT)	10
Agtpbp1	F_4	EX_cortical	random hexamer	2
Agtpbp1	F_4	EX_hippocampus_granule	poly(dT)	1
Agtpbp1	F_4	EX_hippocampus_granule	random hexamer	1
Agtpbp1	F_4	EX_hippocampus_pyramidal	poly(dT)	3
Agtpbp1	F_4	INH_medium_spiny	poly(dT)	1
Agtpbp1	F_4	INH_medium_spiny	random hexamer	3
Agtpbp1	F_4	INH_midbrain	poly(dT)	1
Agtpbp1	F_4	INH_migrating_interneuron	poly(dT)	5
Agtpbp1	F_4	INH_migrating_interneuron	random hexamer	8
Agtpbp1	F_4	ODC	poly(dT)	2
Agtpbp1	F_4	ODC	random hexamer	2
Agtpbp1	F_5	ASC	poly(dT)	6
Agtpbp1	F_5	ASC	random hexamer	2
Agtpbp1	F_5	EX_cerebellum_granule	poly(dT)	7
Agtpbp1	F_5	EX_cerebellum_granule	random hexamer	12
Agtpbp1	F_5	EX_cortical	poly(dT)	27
Agtpbp1	F_5	EX_cortical	random hexamer	17
Agtpbp1	F_5	EX_hippocampus_granule	poly(dT)	4
