test_id	feature_type	primer	n_features	rank_correlation
ENSMUSG00000026797.17:B1	exon	random hexamer	1	0.7
ENSMUSG00000026825.18:B1	exon	random hexamer	1	-0.39285714285714296
ENSMUSG00000026872.19:B1	exon	random hexamer	6	0.08333333333333333
ENSMUSG00000026872.19:B1	junction	random hexamer	2	0.9330127018922194
ENSMUSG00000026872.19:B2	exon	random hexamer	9	0.3888888888888889
ENSMUSG00000026872.19:B2	junction	random hexamer	7	0.2857142857142857
ENSMUSG00000026915.17:B1	exon	poly(dT)	1	0.5428571428571429
ENSMUSG00000026915.17:B1	junction	poly(dT)	1	0.48571428571428577
ENSMUSG00000026959.14:B3	exon	poly(dT)	1	0.39999999999999997
ENSMUSG00000026959.14:B3	exon	random hexamer	1	-0.09999999999999999
ENSMUSG00000026959.14:B3	junction	poly(dT)	3	0.4666666666666666
ENSMUSG00000026959.14:B3	junction	random hexamer	3	0.6333333333333333
ENSMUSG00000027012.16:B1	exon	poly(dT)	2	0.0
ENSMUSG00000027012.16:B1	exon	random hexamer	2	1.0
ENSMUSG00000027012.16:B3	exon	poly(dT)	1	0.7999999999999999
ENSMUSG00000027012.16:B3	junction	poly(dT)	3	0.294590744661054
ENSMUSG00000027254.14:B1	exon	random hexamer	3	0.4047619047619049
ENSMUSG00000027254.14:B1	junction	random hexamer	3	0.5833333333333334
ENSMUSG00000027309.19:B1	exon	random hexamer	1	-0.6000000000000001
ENSMUSG00000027347.19:B4	exon	random hexamer	2	-0.75
ENSMUSG00000027347.19:B4	junction	random hexamer	3	-0.6666666666666666
ENSMUSG00000027624.21:B1	exon	random hexamer	4	0.517857142857143
ENSMUSG00000027624.21:B1	junction	random hexamer	4	0.4464285714285715
ENSMUSG00000027624.21:B5	exon	poly(dT)	1	0.14285714285714288
ENSMUSG00000027624.21:B5	exon	random hexamer	1	0.6571428571428573
ENSMUSG00000027677.18:B1	exon	poly(dT)	1	0.48571428571428577
ENSMUSG00000027677.18:B1	exon	random hexamer	1	-0.19999999999999998
ENSMUSG00000027692.17:B1	exon	poly(dT)	2	0.08571428571428574
ENSMUSG00000027692.17:B1	exon	random hexamer	1	0.0
ENSMUSG00000027692.17:B2	exon	poly(dT)	1	0.7
ENSMUSG00000027692.17:B2	exon	random hexamer	1	-0.2
ENSMUSG00000027692.17:B2	junction	poly(dT)	3	0.19213106741667366
ENSMUSG00000027692.17:B2	junction	random hexamer	3	-0.08636709232458317
ENSMUSG00000027797.16:B1	exon	poly(dT)	7	0.4731147712678556
ENSMUSG00000027797.16:B1	exon	random hexamer	7	0.4122448979591837
ENSMUSG00000027797.16:B1	junction	poly(dT)	6	0.6
ENSMUSG00000027797.16:B1	junction	random hexamer	6	0.5333333333333333
ENSMUSG00000027797.16:B2	exon	poly(dT)	16	0.18125
ENSMUSG00000027797.16:B2	exon	random hexamer	16	0.6428571428571429
ENSMUSG00000027797.16:B2	junction	poly(dT)	15	0.12649347765276564
ENSMUSG00000027797.16:B2	junction	random hexamer	16	0.4028260280267069
ENSMUSG00000027993.17:B1	exon	random hexamer	1	0.7
