test_id	null_type	replicates	observed_statistic	empirical_p_value
ENSG00000091879.13:B1	wild_cluster	16	91570.5211747286	0.058823529411764705
ENSG00000092148.13:B1	label_permutation	16	-1441299097.8561046	0.5882352941176471
ENSG00000092148.13:B1	wild_cluster	16	-1441299097.8561046	0.7058823529411765
ENSG00000092445.12:B1	label_permutation	16	2109931308.8225875	0.058823529411764705
ENSG00000092445.12:B1	wild_cluster	16	2109931308.8225875	0.058823529411764705
ENSG00000092969.12:B1	label_permutation	16	2.897938180745184	0.8235294117647058
ENSG00000092969.12:B1	wild_cluster	16	2.897938180745184	0.7058823529411765
ENSG00000094841.14:B1	label_permutation	8	778965926.3413817	0.2222222222222222
ENSG00000094841.14:B1	wild_cluster	16	778965926.3413817	0.17647058823529413
ENSG00000095261.14:B1	label_permutation	16	7984.324280287592	0.29411764705882354
ENSG00000095261.14:B1	wild_cluster	16	7984.324280287592	0.11764705882352941
ENSG00000095637.22:B1	label_permutation	16	-1163700154.1156464	0.7647058823529411
ENSG00000095637.22:B1	wild_cluster	16	-1163700154.1156464	1.0
ENSG00000095713.14:B2	label_permutation	16	64.09821436090935	0.8235294117647058
ENSG00000095713.14:B2	wild_cluster	16	64.09821436090935	0.7647058823529411
ENSG00000096746.17:B1	label_permutation	16	50.97970582627887	0.8235294117647058
ENSG00000096746.17:B1	wild_cluster	16	50.97970582627887	0.9411764705882353
ENSG00000099219.14:B1	label_permutation	16	12921678205.460508	0.058823529411764705
ENSG00000099219.14:B1	wild_cluster	16	12921678205.460508	0.058823529411764705
ENSG00000099219.14:B2	label_permutation	16	1223807.6805281378	0.11764705882352941
ENSG00000099219.14:B2	wild_cluster	16	1223807.6805281378	0.058823529411764705
ENSG00000099219.14:B3	label_permutation	16	345.4286775081096	0.29411764705882354
ENSG00000099219.14:B3	wild_cluster	16	345.4286775081096	0.9411764705882353
ENSG00000099326.8:B1	label_permutation	16	39719226.13848468	0.5294117647058824
ENSG00000099326.8:B1	wild_cluster	16	39719226.13848468	0.17647058823529413
ENSG00000099904.15:B1	label_permutation	15	28005896.17896085	0.3125
ENSG00000099904.15:B1	wild_cluster	16	28005896.17896085	0.47058823529411764
ENSG00000100095.19:B1	label_permutation	16	230245757.82761183	0.058823529411764705
ENSG00000100095.19:B1	wild_cluster	16	230245757.82761183	0.11764705882352941
ENSG00000100116.16:B1	label_permutation	16	2526745.3329411023	0.4117647058823529
ENSG00000100116.16:B1	wild_cluster	16	2526745.3329411023	0.29411764705882354
ENSG00000100116.16:B2	label_permutation	16	252.286948132656	0.47058823529411764
ENSG00000100116.16:B2	wild_cluster	16	252.286948132656	0.058823529411764705
ENSG00000100207.18:B1	label_permutation	16	-177889771.93674925	1.0
ENSG00000100207.18:B1	wild_cluster	16	-177889771.93674925	1.0
ENSG00000100239.16:B1	label_permutation	16	-185215319.26558807	0.47058823529411764
ENSG00000100239.16:B1	wild_cluster	16	-185215319.26558807	0.6470588235294118
ENSG00000100281.14:B1	label_permutation	16	-9375045438.844896	0.8235294117647058
